Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,MEMCPY_ASYNC,46,45,1.840,1783954076188691.150	,1783954076188692.990	
0,N/A,HOSTFUNC_CALLBACK,46,46,10.900,1783954076188693.150	,1783954076188704.050	
0,N/A,EVENT_WAIT,46,47,25.120,1783954076188709.170	,1783954076188734.290	
0,N/A,EVENT_RESET,46,48,0.100,1783954076188734.310	,1783954076188734.410	
0,fused_moe_small_bs_w4a16_bf16_3_mix_aiv,MIX_AIV,46,49,41.582,1783954076188790.092	,1783954076188831.674	
0,N/A,HOSTFUNC_CALLBACK,46,50,11.182,1783954076188945.134	,1783954076188956.316	
0,N/A,EVENT_WAIT,46,51,29.760,1783954076188956.476	,1783954076188986.236	
0,N/A,EVENT_RESET,46,52,0.080,1783954076188986.256	,1783954076188986.336	
0,N/A,MEMCPY_ASYNC,46,53,2.740,1783954076189045.918	,1783954076189048.658	
0,Add_ce3d1ff8ba23a0bcb292da3577c1625d_high_performance_210000000,AI_VECTOR_CORE,46,54,2.120,1783954076189142.738	,1783954076189144.858	
0,Cast_b2717900ea7de2d41ea9c63d23aa269b_high_performance_210000000,AI_VECTOR_CORE,46,55,1.420,1783954076190016.216	,1783954076190017.636	
0,N/A,PROFILING_DISABLE,49,5,0.000,1783954077066383.886	,1783954077066383.886	
