Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,1,46,aclnnInplaceRandom_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1783953217057966.592	,299.424,0,0,0,NO,N/A,N/A,N/A,"""8,2048,192""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,17,46,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1783953217101288.116	,1.280,68.460000,2,0,NO,"""1,2048""",FLOAT,ND,"""1,2048""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.725,2611,0.031,0.043,0.269,0.371,0.256,0.353,0.144,0.199,0.0,0.000
0,4294967295,18,46,aclnnArange_ArangeAiCore_Range,Range,dynamic,AI_VECTOR_CORE,1783953217103834.208	,7.360,2544.970000,40,0,NO,""";;""",DOUBLE;DOUBLE;DOUBLE,ND;ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.827,275575,0.025,0.007,0.199,0.052,0.229,0.06,0.027,0.007,0.293,0.000
0,4294967295,19,46,aclnnAdds_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1783953217109551.162	,1.620,5709.640000,1,0,NO,"""8;""",INT32;INT32,ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.103,1986,0.031,0.028,0.259,0.235,0.189,0.171,0.109,0.099,0.197,0.000
0,4294967295,20,46,aclnnRemainderTensorScalar_BroadcastToAiCore_BroadcastTo,BroadcastTo,dynamic,AI_VECTOR_CORE,1783953217115974.870	,1.580,6421.880000,1,0,NO,""";1""",INT32;INT64,ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.061,1909,0.031,0.029,0.454,0.428,0.126,0.118,0.122,0.115,0.211,0.000
0,4294967295,21,46,aclnnRemainderTensorScalar_FloorModAiCore_FloorMod,FloorMod,dynamic,AI_VECTOR_CORE,1783953217118673.584	,2.220,2697.170000,1,0,NO,"""8;8""",INT32;INT32,ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.682,3028,0.259,0.154,0.407,0.242,0.214,0.127,0.116,0.069,0.231,0.000
0,4294967295,23,46,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1783953217120921.908	,1.260,2246.280000,1,0,NO,"""1;""",INT64;INT32,ND;ND,"""1""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.717,1290,0.008,0.011,0.24,0.335,0.103,0.143,0.114,0.16,0.245,0.000
0,4294967295,24,46,aclnnInplaceCopy_BroadcastToAiCore_BroadcastTo,BroadcastTo,dynamic,AI_VECTOR_CORE,1783953217121072.732	,1.240,149.490000,1,0,NO,"""1,1;2""",INT32;INT64,ND;ND,"""1,2""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679,1223,0.034,0.051,0.279,0.411,0.087,0.128,0.099,0.146,0.182,0.000
0,4294967295,25,46,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1783953217121141.992	,1.440,68.010000,1,0,NO,"""2;""",INT64;INT32,ND;ND,"""1,8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.894,1609,0.028,0.032,0.281,0.314,0.121,0.135,0.109,0.122,0.164,0.000
0,4294967295,26,46,aclnnArange_ArangeAiCore_Range,Range,dynamic,AI_VECTOR_CORE,1783953217121201.854	,4.000,58.310000,40,0,NO,""";;""",DOUBLE;DOUBLE;DOUBLE,ND;ND;ND,"""2""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.208,158998,0.016,0.007,1.079,0.489,1.074,0.486,0.007,0.003,0.0,0.000
0,4294967295,28,46,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1783953217123131.152	,1.460,1925.500000,1,0,NO,"""2;""",INT64;FLOAT,ND;ND,"""1,8""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.864,1555,0.028,0.033,0.286,0.331,0.102,0.118,0.116,0.134,0.167,0.000
0,4294967295,30,46,fused_moe_small_bs_w4a16_bf16,fused_moe_small_bs_w4a16_bf16,dynamic,MIX_AIV,1783953217126360.898	,48.940,3228.290000,40,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.765,3367069,4.782,0.102,9.175,0.196,1.726,0.037,1.209,0.026,0.097,0.000
0,4294967295,32,46,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1783953217130385.078	,2.100,3975.060000,2,0,NO,"""1,2048;1,2048""",DT_BF16;DT_BF16,ND;ND,"""1,2048""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.499,5397,0.099,0.066,0.238,0.159,0.378,0.252,0.132,0.088,0.182,0.000
0,4294967295,34,46,fused_moe_small_bs_w4a16_bf16,fused_moe_small_bs_w4a16_bf16,dynamic,MIX_AIV,1783953217631305.966	,41.002,500918.900000,40,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.492,2843442,4.778,0.121,8.335,0.211,1.454,0.037,1.446,0.037,0.0,0.000
0,4294967295,36,46,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1783953217631505.950	,2.060,158.998000,2,0,NO,"""1,2048;1,2048""",DT_BF16;DT_BF16,ND;ND,"""1,2048""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.421,5114,0.099,0.07,0.272,0.191,0.378,0.266,0.136,0.096,0.144,0.000
0,4294967295,37,46,aclnnInplaceCopy_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1783953217632358.628	,1.440,850.690000,1,0,NO,"""""",DT_BF16,ND,"""""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.932,1677,0.026,0.028,0.282,0.302,0.077,0.082,0.114,0.123,0.229,0.000
