Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,MEMCPY_ASYNC,44,11,2.480,1783953217631144.884	,1783953217631147.364	
0,N/A,MEMCPY_ASYNC,44,12,1.840,1783953217631152.064	,1783953217631153.904	
0,N/A,MEMCPY_ASYNC,44,13,1.880,1783953217631158.424	,1783953217631160.304	
0,N/A,MEMCPY_ASYNC,44,14,2.800,1783953217631164.824	,1783953217631167.624	
0,N/A,HOSTFUNC_CALLBACK,44,15,12.580,1783953217631167.784	,1783953217631180.364	
0,N/A,EVENT_WAIT,44,16,269.924,1783953217631180.524	,1783953217631450.448	
0,fused_moe_small_bs_w4a16_bf16_3_mix_aiv,MIX_AIV,46,34,41.002,1783953217631305.966	,1783953217631346.968	
0,N/A,EVENT_WAIT,46,35,98.700,1783953217631355.428	,1783953217631454.128	
0,N/A,EVENT_RESET,44,17,0.080,1783953217631450.548	,1783953217631450.628	
0,N/A,MEMCPY_ASYNC,44,18,2.880,1783953217631450.648	,1783953217631453.528	
0,N/A,EVENT_RECORD,44,19,0.020,1783953217631453.688	,1783953217631453.708	
0,Add_ce3d1ff8ba23a0bcb292da3577c1625d_high_performance_210000000,AI_VECTOR_CORE,46,36,2.060,1783953217631505.950	,1783953217631508.010	
0,Cast_b2717900ea7de2d41ea9c63d23aa269b_high_performance_210000000,AI_VECTOR_CORE,46,37,1.440,1783953217632358.628	,1783953217632360.068	
0,N/A,PROFILING_DISABLE,49,5,0.000,1783953218000971.172	,1783953218000971.172	
